1475157296_278.csv,1,187,125.10000610351562,cream
1475157296_278.csv,2,98,189,cream
1475157296_278.csv,3,156,209.10000610351562,wart
1475157296_278.csv,4,260,283,wart
1475157296_278.csv,5,174,216,cream
1475157296_278.csv,6,387,244.10000610351562,wart
1475157296_278.csv,7,178,92,cream
1475157296_278.csv,8,,,wart
1475157296_278.csv,9,179,151,cream
1475157296_278.csv,10,257,178,wart
1475157296_278.csv,11,,,cream
1475157296_278.csv,12,253,273,wart
1475157296_278.csv,13,209,260.1000061035156,wart
1475157296_278.csv,14,220,256,wart
1475157296_278.csv,15,,,wart
1475157296_278.csv,16,289,293,cream
1475157296_278.csv,17,42,160,cream
1475157296_278.csv,18,265,244,cream
1475157296_278.csv,19,239,417,wart
1475157296_278.csv,20,,,cream
1475157296_278.csv,21,291,187,cream
1475157296_278.csv,22,273,338,cream
1475157296_278.csv,23,144,416,wart
1475157296_278.csv,24,,,wart
1475157296_278.csv,25,259,352,wart
1475157296_278.csv,26,182,331,cream
1475157296_278.csv,27,259,191,cream
1475157296_278.csv,28,256,219,wart
1475157296_278.csv,29,301,336,cream
1475157296_278.csv,30,303,275,wart
1475157296_278.csv,31,114,107,cream
1475157296_278.csv,32,302,219,wart
1475157296_278.csv,33,,,cream
1475157296_278.csv,34,291,283,wart
1475157296_278.csv,35,209,259,wart
1475157296_278.csv,36,179,177,wart
1475157296_278.csv,37,260,355,wart
1475157296_278.csv,38,13,147,cream
1475157296_278.csv,39,252,317,cream
1475157296_278.csv,40,64,118,wart
1475157296_278.csv,41,224,305,wart
1475157296_278.csv,42,192,291,cream
1475157296_278.csv,43,,,wart
1475157296_278.csv,44,216,250,wart
1475157296_278.csv,45,334,290,cream
1475157296_278.csv,46,40,173,wart
1475157296_278.csv,47,216,358,cream
1475157296_278.csv,48,252,363,cream
1475157296_278.csv,49,239,246,wart
1475157296_278.csv,50,,,wart
